vote_id;comment_id;user_id;gender;age;content;vote;label
12764;1489;1;fem;24.0;MUITO MAIS LEGAL  RRSRSRRSRSRS;0;0.0
11301;1489;477;fem;39.0;MUITO MAIS LEGAL  RRSRSRRSRSRS;0;0.0
4400;1489;158;fem;34.0;MUITO MAIS LEGAL  RRSRSRRSRSRS;0;0.0
1666;1489;57;masc;24.0;MUITO MAIS LEGAL  RRSRSRRSRSRS;0;0.0
11661;273;486;fem;56.0;Canhão de guerra. ;1;1.0
4151;273;155;masc;38.0;Canhão de guerra. ;1;1.0
4021;273;148;fem;25.0;Canhão de guerra. ;1;1.0
10816;2574;402;fem;25.0;femi o que?;1;1.0
2312;2574;71;fem;21.0;femi o que?;1;1.0
1303;2574;31;fem;25.0;femi o que?;1;1.0
7122;951;1;fem;24.0;"Concordo plenamente Jaqueline!! Outro dia ouvi um relato de uma moça que se disse ""assediada sexualmente"" porque um cara passou por ele e mandou um ""oi gatinha"".";1;0.6666666666666666
5403;951;204;masc;22.0;"Concordo plenamente Jaqueline!! Outro dia ouvi um relato de uma moça que se disse ""assediada sexualmente"" porque um cara passou por ele e mandou um ""oi gatinha"".";0;0.6666666666666666
1211;951;31;fem;25.0;"Concordo plenamente Jaqueline!! Outro dia ouvi um relato de uma moça que se disse ""assediada sexualmente"" porque um cara passou por ele e mandou um ""oi gatinha"".";1;0.6666666666666666
12428;2520;551;fem;19.0;Feminista é uma mulher encalhada que precisa descontar sua raiva. ;1;1.0
6151;2520;236;fem;22.0;Feminista é uma mulher encalhada que precisa descontar sua raiva. ;1;1.0
4229;2520;152;masc;32.0;Feminista é uma mulher encalhada que precisa descontar sua raiva. ;1;1.0
3093;2520;104;fem;20.0;Feminista é uma mulher encalhada que precisa descontar sua raiva. ;1;1.0
8922;2614;386;fem;28.0;pareceu um mal súbito!;1;1.0
6734;2614;141;masc;47.0;pareceu um mal súbito!;1;1.0
3826;2614;136;fem;20.0;pareceu um mal súbito!;1;1.0
2858;2614;92;masc;23.0;pareceu um mal súbito!;1;1.0
7812;2466;303;fem;22.0;Sem noção de beleza mesmo...;0;0.3333333333333333
2928;2466;1;fem;24.0;Sem noção de beleza mesmo...;0;0.3333333333333333
2332;2466;71;fem;21.0;Sem noção de beleza mesmo...;1;0.3333333333333333
12020;2196;520;fem;27.0;Sou capaz de jurar que esse energúmeno é usuário de drogas.;0;0.0
5565;2196;213;fem;19.0;Sou capaz de jurar que esse energúmeno é usuário de drogas.;0;0.0
52;2196;1;fem;24.0;Sou capaz de jurar que esse energúmeno é usuário de drogas.;0;0.0
9462;1750;379;fem;23.0;Pessoas, fala sério, desnecessário essa denúncia de assédio. Assédio? Onde? Ela pode até não ter gostado, mas aí dizer que foi assédio. Ele só elogiou e brincou. Muito diferente da situação do Biel;1;0.6
9452;1750;330;masc;28.0;Pessoas, fala sério, desnecessário essa denúncia de assédio. Assédio? Onde? Ela pode até não ter gostado, mas aí dizer que foi assédio. Ele só elogiou e brincou. Muito diferente da situação do Biel;0;0.6
6366;1750;241;fem;24.0;Pessoas, fala sério, desnecessário essa denúncia de assédio. Assédio? Onde? Ela pode até não ter gostado, mas aí dizer que foi assédio. Ele só elogiou e brincou. Muito diferente da situação do Biel;1;0.6
4951;1750;177;fem;29.0;Pessoas, fala sério, desnecessário essa denúncia de assédio. Assédio? Onde? Ela pode até não ter gostado, mas aí dizer que foi assédio. Ele só elogiou e brincou. Muito diferente da situação do Biel;1;0.6
4663;1750;169;fem;28.0;Pessoas, fala sério, desnecessário essa denúncia de assédio. Assédio? Onde? Ela pode até não ter gostado, mas aí dizer que foi assédio. Ele só elogiou e brincou. Muito diferente da situação do Biel;0;0.6
6593;176;55;fem;20.0;SOBERBANIA...;0;0.0
5174;176;183;fem;21.0;SOBERBANIA...;0;0.0
3483;176;125;fem;24.0;SOBERBANIA...;0;0.0
11098;1003;456;masc;23.0;Acredito que o galanteio, as cantadas fazem parte da sedução do homem junto à mulher e pode ocorrer o contrário também e isso na minha modesta opinião não deveria ser reprimido. Estupro é outra coisa, é sexo sem sem consentimento é abuso de poder e isso deve ser reprimido, combatido e punido. Também existem algumas mulheres que cedem por interesse, deixando até transparecer estar interessada e depois que conseguem o que queriam decidem denunciar. Enfim, há 2 lados desta  historia e por isso manifesto das próprias mulheres nos dois sentidos.;1;1.0
